epoch,correlation_coefficient,fraction_of_explained_variance,loss,root_mean_squared_error
0,0.45915827,0.13543923,0.7441185665588562,0.6455231
1,0.63397044,0.4048006,0.6331281121256225,0.5468446
2,0.6649815,0.4468934,0.6120028296629397,0.5266379
3,0.6796086,0.4668009,0.6012473280280848,0.5168609
4,0.68838006,0.47831813,0.594426387792526,0.5111936
5,0.69394606,0.48574457,0.5898189595520965,0.50751877
6,0.69815075,0.4912898,0.586375168570522,0.5048417
7,0.7015396,0.4959323,0.5835768752643804,0.5025992
8,0.704192,0.49945498,0.5813834993691703,0.5008795
9,0.7063191,0.50219995,0.5796211073183769,0.499508
10,0.71857977,0.5181148,0.5722989391009299,0.49150422
11,0.721957,0.52264285,0.5695477264339612,0.48929524
12,0.72284514,0.52369446,0.5683846515533176,0.4888083
13,0.7234104,0.5243009,0.567605730921837,0.48851225
14,0.72402567,0.5250348,0.5669733181693195,0.48822302
15,0.72458136,0.52560943,0.5663952498622333,0.48792374
16,0.72506666,0.5261077,0.5659552855787078,0.48771548
17,0.7255507,0.5266293,0.5655279986692521,0.48744947
18,0.7260664,0.52718514,0.5651091096543369,0.4871748
19,0.7265584,0.5277962,0.5647175261755538,0.4868908
20,0.729864,0.5316303,0.5630011200980376,0.4850015
21,0.73058724,0.5326123,0.562566225775102,0.4845147
22,0.7308838,0.5330264,0.5624191374663943,0.48428676
23,0.7310431,0.5332109,0.5623010256870183,0.48420697
24,0.731193,0.5334539,0.5622000192938382,0.48409748
25,0.7312546,0.53356117,0.5621455094310082,0.4840485
26,0.7312668,0.53362024,0.5620912833322409,0.48402897
27,0.7314414,0.5337553,0.5619972700220085,0.48391697
28,0.73133785,0.5337377,0.5619580600024605,0.4839571
29,0.7315443,0.5339958,0.5618858623082469,0.48384428
30,0.73200095,0.53448653,0.561655509083513,0.4835976
31,0.7320236,0.53455096,0.5616219774637919,0.48354954
32,0.73202705,0.534533,0.5616423077896243,0.48359287
33,0.7320144,0.5345413,0.5616037548482776,0.48354536
34,0.7320379,0.53451693,0.5616219784357365,0.48356542
35,0.7320992,0.53455657,0.5615868927483338,0.48351297
36,0.73215777,0.53473747,0.5615474181372722,0.48347157
37,0.7321165,0.5346365,0.5615961069271725,0.4835459
38,0.73204553,0.53458005,0.5615495804931318,0.48352396
39,0.732043,0.53459156,0.5616089951197784,0.4835619
40,0.73216754,0.534707,0.5615447906056006,0.4834846
41,0.73211503,0.5347175,0.5615566866257452,0.48349857
42,0.73212874,0.5346097,0.5615406958988798,0.4835166
43,0.73201895,0.5346074,0.5615809884956396,0.4835466
44,0.73210824,0.53464735,0.5615682423440745,0.48350683
45,0.7321543,0.5346656,0.5615450358317664,0.483495
46,0.73221993,0.5347567,0.5615041968153686,0.483449
47,0.7320937,0.5346052,0.5615613063792634,0.4835271
48,0.73212296,0.53465074,0.5615297113460144,0.48351303
49,0.73211855,0.53467584,0.5615086253860148,0.48347703
