epoch,correlation_coefficient,fraction_of_explained_variance,loss,root_mean_squared_error
0,0.31124976,-0.21533969,0.6833825389257953,0.6189897
1,0.45651972,0.20204143,0.5766579301731418,0.53349924
2,0.48706257,0.2343513,0.5598856240642123,0.52237815
3,0.50250304,0.25094435,0.5514750112863291,0.51664764
4,0.51550794,0.19282582,0.5450592485069036,0.5117489
5,0.5264676,0.27661178,0.5398015552649454,0.5075265
6,0.53511506,0.28581488,0.5354926876303385,0.5041898
7,0.54202133,0.29320136,0.5319390858874983,0.5015092
8,0.54777116,0.29957446,0.5289531905098217,0.4992276
9,0.55199856,0.30412048,0.5265765865973764,0.49761274
10,0.5555979,0.3081051,0.5245657142053465,0.4961663
11,0.55885154,0.31164527,0.5227633054151175,0.49489912
12,0.5617478,0.31483176,0.5212015521849126,0.49372965
13,0.56402004,0.31674126,0.5199418775603122,0.49286696
14,0.56618166,0.319786,0.5186621606334044,0.49189365
15,0.56825113,0.32194293,0.5175799025890747,0.49108464
16,0.5702231,0.32390982,0.5166103994033806,0.4904023
17,0.57161444,0.325342,0.5157516574909707,0.48969743
18,0.5731789,0.32726786,0.5148868658243855,0.48909566
19,0.57482463,0.32892823,0.5140636578983381,0.4883122
20,0.5760835,0.33061624,0.5133963613684565,0.4879058
21,0.5772366,0.3317529,0.5127767067607822,0.48738122
22,0.5784292,0.33290446,0.5120783296782795,0.4868897
23,0.5796211,0.33445656,0.5115532492484604,0.4864354
24,0.5809328,0.33586857,0.5109768956203977,0.48587075
25,0.5818749,0.33686396,0.5104248384539248,0.48549524
26,0.5829454,0.33800066,0.5099768260377351,0.48511717
27,0.58430326,0.33966997,0.5093176900650782,0.48452133
28,0.5851386,0.3404107,0.508953254440832,0.48424363
29,0.58597475,0.3414392,0.5085561948866785,0.4838696
30,0.5866434,0.34222296,0.508180781410816,0.4835939
31,0.5877829,0.34339863,0.5077118540213269,0.48315078
32,0.5880233,0.34355104,0.5075460929476739,0.48299506
33,0.589208,0.34492776,0.5070643501441463,0.48258612
34,0.59010243,0.34601054,0.50671093249255,0.48227775
35,0.59029424,0.34411374,0.506514318741543,0.48206678
36,0.5914327,0.34746602,0.5059928380095022,0.4815729
37,0.59183556,0.34775484,0.505774063266276,0.48141882
38,0.5927556,0.34869114,0.5054306366484738,0.4810232
39,0.5931877,0.34932303,0.5052471849587865,0.48085096
40,0.59430194,0.3506433,0.504907329662555,0.48053518
41,0.59416837,0.35049123,0.5047704166883912,0.48051032
42,0.5949443,0.35119414,0.5043914982216969,0.48012927
43,0.59563833,0.35228083,0.5041248459760008,0.47982886
44,0.5955355,0.3518883,0.5040474984209999,0.47981897
45,0.59665835,0.3533435,0.503722845461546,0.47949186
46,0.5973017,0.35401097,0.503509377817464,0.47918564
47,0.59763014,0.352865,0.503376250538259,0.47904834
48,0.59805876,0.35491198,0.5030328957111784,0.47883356
49,0.59858537,0.35557368,0.5029320954467529,0.47866392
