epoch,correlation_coefficient,fraction_of_explained_variance,loss,root_mean_squared_error
0,nan,-inf,0.7112877368927002,0.6208975315093994
1,nan,-inf,0.5823125243186951,0.512325644493103
2,nan,-inf,0.5531406402587891,0.4880412817001343
3,nan,-inf,0.5711416006088257,0.5179916024208069
4,nan,-inf,0.5592020750045776,0.5071002840995789
5,nan,-inf,0.5550779104232788,0.5040854811668396
6,nan,-inf,0.5524280071258545,0.5020946860313416
7,nan,-inf,0.5503641963005066,0.500406801700592
8,nan,-inf,0.5486332774162292,0.4989307224750519
9,nan,-inf,0.5471038222312927,0.49755871295928955
10,nan,-inf,0.5570496320724487,0.5196461081504822
11,nan,-inf,0.5534242391586304,0.5144402980804443
12,nan,-inf,0.5514230132102966,0.5116084218025208
13,nan,-inf,0.5501008033752441,0.5097315311431885
14,nan,-inf,0.5492265224456787,0.5084373950958252
15,nan,-inf,0.5485554933547974,0.5074706673622131
16,nan,-inf,0.5480301380157471,0.5067149996757507
17,nan,-inf,0.5476089119911194,0.5061056017875671
18,nan,-inf,0.5472895503044128,0.5056524276733398
19,nan,-inf,0.5469891428947449,0.5052272081375122
20,nan,-inf,0.5468640327453613,0.5068932771682739
21,nan,-inf,0.5466925501823425,0.5065526962280273
22,nan,-inf,0.5465537309646606,0.5062845945358276
23,nan,-inf,0.5464374423027039,0.5060337781906128
24,nan,-inf,0.5463553071022034,0.5058708786964417
25,nan,-inf,0.546288788318634,0.505707859992981
26,nan,-inf,0.546207070350647,0.5055482983589172
27,nan,-inf,0.5461690425872803,0.5054692029953003
28,nan,-inf,0.5461334586143494,0.5053557753562927
29,nan,-inf,0.5460968017578125,0.5052681565284729
30,nan,-inf,0.5459784865379333,0.5052675008773804
31,nan,-inf,0.545957088470459,0.5052419900894165
32,nan,-inf,0.5459809899330139,0.505249559879303
33,nan,-inf,0.5459355115890503,0.5051992535591125
34,nan,-inf,0.5459184050559998,0.5051765441894531
35,nan,-inf,0.5459611415863037,0.5052255988121033
36,nan,-inf,0.5459591150283813,0.5052160620689392
37,nan,-inf,0.5459240078926086,0.5051671266555786
38,nan,-inf,0.545916736125946,0.5051620602607727
39,nan,-inf,0.5459144115447998,0.5051378607749939
40,nan,-inf,0.5459250807762146,0.5051445960998535
41,nan,-inf,0.5459339618682861,0.5051804184913635
42,nan,-inf,0.5458985567092896,0.5051130652427673
43,nan,-inf,0.5459235906600952,0.5051268339157104
44,nan,-inf,0.5458893775939941,0.5051079988479614
45,nan,-inf,0.5459185242652893,0.5051218867301941
46,nan,-inf,0.5458909273147583,0.5050779581069946
47,nan,-inf,0.5458924174308777,0.5050684213638306
48,nan,-inf,0.545897901058197,0.5050946474075317
49,nan,-inf,0.5459137558937073,0.5050922632217407
50,nan,-inf,0.5458898544311523,0.5050721764564514
51,nan,-inf,0.5458664298057556,0.5050578117370605
52,nan,-inf,0.545902669429779,0.5050791501998901
53,nan,-inf,0.5458730459213257,0.5050592422485352
54,nan,-inf,0.5458565354347229,0.5050451159477234
55,nan,-inf,0.5458685159683228,0.5050636529922485
56,nan,-inf,0.5458827614784241,0.5050551891326904
57,nan,-inf,0.5458595752716064,0.5050534605979919
58,nan,-inf,0.545862078666687,0.5050545930862427
59,nan,-inf,0.5458881258964539,0.5050644278526306
60,nan,-inf,0.5458950400352478,0.5050776600837708
61,nan,-inf,0.5458942651748657,0.5050855875015259
62,nan,-inf,0.545879602432251,0.505062460899353
63,nan,-inf,0.5458651781082153,0.5050668120384216
64,nan,-inf,0.545872151851654,0.5050574541091919
65,nan,-inf,0.5458683371543884,0.5050737261772156
66,nan,-inf,0.5458769798278809,0.5050671100616455
67,nan,-inf,0.5458800792694092,0.5050747990608215
68,nan,-inf,0.5458709001541138,0.5050680637359619
69,nan,-inf,0.5459029674530029,0.5051020383834839
70,nan,-inf,0.5458729863166809,0.505062460899353
71,nan,-inf,0.5458734035491943,0.5050713419914246
72,nan,-inf,0.5458816289901733,0.5050466060638428
73,nan,-inf,0.5458550453186035,0.5050389170646667
74,nan,-inf,0.5458746552467346,0.5050535202026367
75,nan,-inf,0.5458796620368958,0.505052387714386
76,nan,-inf,0.5458788275718689,0.5050379037857056
77,nan,-inf,0.5458646416664124,0.5050420165061951
78,nan,-inf,0.5458531975746155,0.5050392746925354
79,nan,-inf,0.54587322473526,0.5050643682479858
